Name_Orig,Lat_Orig,Lng_Orig,Name_Des,Lat_Des,Lng_Des,Distance (nm),Distance (mi),Distance (km)
"Torrance, CA",33.8358,-118.3406,"South Bend, IN",41.702,-86.239,0,0,0
"Torrance, CA",33.8358,-118.3406,"South Bend, IN",41.702,-86.239,0,0,0
"Torrance, CA",33.8358,-118.3406,"Waco, TX",31.5493,-97.1467,0,0,0
"Waco, TX",31.5493,-97.1467,"McGregor, TX",31.4441,-97.4092,0,0,0
"Torrance, CA",33.8358,-118.3406,"St. Petersburg, FL",27.7676,-82.6403,0,0,0
"Torrance, CA",33.8358,-118.3406,"South Bend, IN",41.702,-86.239,0,0,0
"Torrance, CA",33.8358,-118.3406,"Columbus, OH",39.9612,-82.9988,0,0,0
"Torrance, CA",33.8358,-118.3406,"San Francisco, CA",37.7749,-122.4194,0,0,0
"Torrance, CA",33.8358,-118.3406,"Paso Robles, CA",35.637,-120.655,0,0,0
"Torrance, CA",33.8358,-118.3406,"Paso Robles, CA",35.637,-120.655,0,0,0
"Paso Robles, CA",35.637,-120.655,"Palo Alto, CA",37.4419,-122.143,0,0,0
"Torrance, CA",33.8358,-118.3406,"Paso Robles, CA",35.637,-120.655,0,0,0
"Torrance, CA",33.8358,-118.3406,"South Bend, IN",41.702,-86.239,0,0,0
"Torrance, CA",33.8358,-118.3406,"Columbus, OH",39.9612,-82.9988,0,0,0
"Torrance, CA",33.8358,-118.3406,"Paso Robles, CA",35.637,-120.655,0,0,0
